block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74997067,0xec8d0b99ee74cae84ac2ad2e5071da46f17fd82cd4d33901b3f597a00e457334,463,0x0fb6589dba5168073712ae711f2652ae80d66c70,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,2048,1222740587
74997103,0x3a15d6c21bd5d3b65ff8970317795096178633643084c1b9f07d668bb68ddacd,435,0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,0xe0dacd987819f3af497743897889ea5558a1340bd5f3b596b669b01795290200,12,2000000000
74997178,0xa90daed469ec9289448962a24c60f14ebb954b745ec0254d46b47f5eb7f199e4,477,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,150000000
74997206,0x454b2038479f0b045ba8633ba4fab2dd4d19f92a2c19c25d5cc78c8cef717510,357,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,2048,126000000
74997290,0x4671a24e05ecc9fa00b4a85698d20134a9b8e4afe97f824ae0cff5ccefa8b267,380,0x224b255eaa3279ceb77330317d3c38ee8e73f6b8,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,1,2000000000
74997301,0x8c260699ed43b9c454698f7abb02f56d048d6e345c063e9d02dada6947f11067,552,0xfd691577dc6a9d21e9611b93ef9177d36738a2e1,0xe0dacd987819f3af497743897889ea5558a1340bd5f3b596b669b01795290200,2,1000000000
74997427,0x3ac0ce1650e5cda316f603c1e844b749a171f9921d695da8c27b1a8b28979c8a,225,0xb48b9192dc52eed724fa58c66fa8926d06a3648e,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,2418000000
74997691,0xec0c78af3a7d727440f6c162b8ca4d66267061a95ed47f9ef61b083c46dca8a4,424,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0xe14500a62f39f74d657364c5d07f6a9affbe2470d24cbb97adb1e15528b74200,1048734,50000000
74997701,0xac3bcec36db0336e48071c9c9b712b623a51ab2ef5f561bdd1abec852db6c347,464,0xb48b9192dc52eed724fa58c66fa8926d06a3648e,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,2800000000
74997701,0xfead9251e2271417de5e6f90f903e50cc813685adee5822b85ea18f021df3b3f,556,0xfd691577dc6a9d21e9611b93ef9177d36738a2e1,0x4c5d47c0c5f71559fad09f78337288893d969fdd7469a49b6c6ca12d315e6a00,128,800000000
